# KPS9566.TXT
0x8141	0xAC03	# 갃
0x8142	0xAC05	# 갅
0x8143	0xAC06	# 갆
0x8144	0xAC0B	# 갋
0x8145	0xAC0C	# 갌
0x8146	0xAC0D	# 갍
0x8147	0xAC0E	# 갎
0x8148	0xAC0F	# 갏
0x8149	0xAC18	# 갘
0x814A	0xAC02	# 갂
0x814B	0xAC3B	# 갻
0x814C	0xAC3D	# 갽
0x814D	0xAC3E	# 갾
0x814E	0xAC3F	# 갿
0x814F	0xAC41	# 걁
0x8150	0xAC42	# 걂
0x8151	0xAC43	# 걃
0x8152	0xAC44	# 걄
0x8153	0xAC45	# 걅
0x8154	0xAC46	# 걆
0x8155	0xAC47	# 걇
0x8156	0xAC49	# 걉
0x8157	0xAC4A	# 걊
0x8158	0xAC4E	# 걎
0x8159	0xAC4F	# 걏
0x815A	0xAC50	# 걐
0x8161	0xAC51	# 걑
0x8162	0xAC52	# 걒
0x8163	0xAC53	# 걓
0x8164	0xAC3A	# 갺
0x8165	0xAC4C	# 걌
0x8166	0xAC73	# 걳
0x8167	0xAC75	# 걵
0x8168	0xAC76	# 걶
0x8169	0xAC7B	# 걻
0x816A	0xAC7C	# 걼
0x816B	0xAC7D	# 걽
0x816C	0xAC7E	# 걾
0x816D	0xAC7F	# 걿
0x816E	0xAC82	# 겂
0x816F	0xAC87	# 겇
0x8170	0xAC88	# 겈
0x8171	0xAC72	# 걲
0x8172	0xACAB	# 겫
0x8173	0xACAD	# 겭
0x8174	0xACAE	# 겮
0x8175	0xACB1	# 겱
0x8176	0xACB2	# 겲
0x8177	0xACB3	# 겳
0x8178	0xACB4	# 겴
0x8179	0xACB5	# 겵
0x817A	0xACB6	# 겶
0x8181	0xACB7	# 겷
0x8182	0xACBA	# 겺
0x8183	0xACBE	# 겾
0x8184	0xACBF	# 겿
0x8185	0xACC0	# 곀
0x8186	0xACC2	# 곂
0x8187	0xACC3	# 곃
0x8188	0xACE3	# 곣
0x8189	0xACE5	# 곥
0x818A	0xACE6	# 곦
0x818B	0xACE9	# 곩
0x818C	0xACEB	# 곫
0x818D	0xACED	# 곭
0x818E	0xACEE	# 곮
0x818F	0xACF2	# 곲
0x8190	0xACF7	# 곷
0x8191	0xACF8	# 곸
0x8192	0xACF9	# 곹
0x8193	0xACFB	# 곻
0x8194	0xACE2	# 곢
0x8195	0xACF4	# 곴
0x8196	0xAD51	# 굑
0x8197	0xAD53	# 굓
0x8198	0xAD55	# 굕
0x8199	0xAD56	# 굖
0x819A	0xAD57	# 굗
0x819B	0xAD59	# 굙
0x819C	0xAD5A	# 굚
0x819D	0xAD5B	# 굛
0x819E	0xAD5C	# 굜
0x819F	0xAD5D	# 굝
0x81A0	0xAD5E	# 굞
0x81A1	0xAD5F	# 굟
0x81A2	0xAD60	# 굠
0x81A3	0xAD62	# 굢
0x81A4	0xAD65	# 굥
0x81A5	0xAD66	# 굦
0x81A6	0xAD67	# 굧
0x81A7	0xAD68	# 굨
0x81A8	0xAD69	# 굩
0x81A9	0xAD6A	# 굪
0x81AA	0xAD6B	# 굫
0x81AB	0xAD52	# 굒
0x81AC	0xAD64	# 굤
0x81AD	0xAD6F	# 굯
0x81AE	0xAD71	# 굱
0x81AF	0xAD72	# 굲
0x81B0	0xAD77	# 굷
0x81B1	0xAD78	# 굸
0x81B2	0xAD79	# 굹
0x81B3	0xAD7A	# 굺
0x81B4	0xAD7E	# 굾
0x81B5	0xAD83	# 궃
0x81B6	0xAD84	# 궄
0x81B7	0xAD85	# 궅
0x81B8	0xAD86	# 궆
0x81B9	0xAD87	# 궇
0x81BA	0xAD6E	# 굮
0x81BB	0xAD80	# 궀
0x81BC	0xADDD	# 귝
0x81BD	0xADDF	# 귟
0x81BE	0xADE1	# 귡
0x81BF	0xADE2	# 귢
0x81C0	0xADE3	# 귣
0x81C1	0xADE5	# 귥
0x81C2	0xADE6	# 귦
0x81C3	0xADE7	# 귧
0x81C4	0xADE8	# 귨
0x81C5	0xADE9	# 귩
0x81C6	0xADEA	# 귪
0x81C7	0xADEB	# 귫
0x81C8	0xADED	# 귭
0x81C9	0xADEE	# 귮
0x81CA	0xADEF	# 귯
0x81CB	0xADF2	# 귲
0x81CC	0xADF3	# 귳
0x81CD	0xADF4	# 귴
0x81CE	0xADF5	# 귵
0x81CF	0xADF6	# 귶
0x81D0	0xADF7	# 귷
0x81D1	0xADDE	# 귞
0x81D2	0xADF0	# 귰
0x81D3	0xADFB	# 귻
0x81D4	0xADFD	# 귽
0x81D5	0xADFE	# 귾
0x81D6	0xAE02	# 긂
0x81D7	0xAE03	# 긃
0x81D8	0xAE04	# 긄
0x81D9	0xAE05	# 긅
0x81DA	0xAE06	# 긆
0x81DB	0xAE0A	# 긊
0x81DC	0xAE0E	# 긎
0x81DD	0xAE0F	# 긏
0x81DE	0xAE10	# 긐
0x81DF	0xAE11	# 긑
0x81E0	0xAE12	# 긒
0x81E1	0xAE13	# 긓
0x81E2	0xADFA	# 귺
0x81E3	0xAE0C	# 긌
0x81E4	0xAE33	# 긳
0x81E5	0xAE35	# 긵
0x81E6	0xAE36	# 긶
0x81E7	0xAE39	# 긹
0x81E8	0xAE3B	# 긻
0x81E9	0xAE3C	# 긼
0x81EA	0xAE3D	# 긽
0x81EB	0xAE3E	# 긾
0x81EC	0xAE3F	# 긿
0x81ED	0xAE42	# 깂
0x81EE	0xAE48	# 깈
0x81EF	0xAE4B	# 깋
0x81F0	0xAE32	# 긲
0x81F1	0xAE44	# 깄
0x81F2	0xAC1F	# 갟
0x81F3	0xAC21	# 갡
0x81F4	0xAC22	# 갢
0x81F5	0xAC23	# 갣
0x81F6	0xAC25	# 갥
0x81F7	0xAC26	# 갦
0x81F8	0xAC27	# 갧
0x81F9	0xAC28	# 갨
0x81FA	0xAC29	# 갩
0x81FB	0xAC2A	# 갪
0x81FC	0xAC2B	# 갫
0x81FD	0xAC2E	# 갮
0x81FE	0xAC32	# 갲
0x8241	0xAC33	# 갳
0x8242	0xAC34	# 갴
0x8243	0xAC35	# 갵
0x8244	0xAC36	# 갶
0x8245	0xAC37	# 갷
0x8246	0xAC1E	# 갞
0x8247	0xAC55	# 걕
0x8248	0xAC57	# 걗
0x8249	0xAC59	# 걙
0x824A	0xAC5A	# 걚
0x824B	0xAC5B	# 걛
0x824C	0xAC5D	# 걝
0x824D	0xAC5E	# 걞
0x824E	0xAC5F	# 걟
0x824F	0xAC60	# 걠
0x8250	0xAC61	# 걡
0x8251	0xAC62	# 걢
0x8252	0xAC63	# 걣
0x8253	0xAC64	# 걤
0x8254	0xAC65	# 걥
0x8255	0xAC66	# 걦
0x8256	0xAC67	# 걧
0x8257	0xAC69	# 걩
0x8258	0xAC6A	# 걪
0x8259	0xAC6B	# 걫
0x825A	0xAC6C	# 걬
0x8261	0xAC6D	# 걭
0x8262	0xAC6E	# 걮
0x8263	0xAC6F	# 걯
0x8264	0xAC56	# 걖
0x8265	0xAC68	# 걨
0x8266	0xAC8F	# 겏
0x8267	0xAC91	# 겑
0x8268	0xAC92	# 겒
0x8269	0xAC93	# 겓
0x826A	0xAC95	# 겕
0x826B	0xAC96	# 겖
0x826C	0xAC97	# 겗
0x826D	0xAC98	# 겘
0x826E	0xAC99	# 겙
0x826F	0xAC9A	# 겚
0x8270	0xAC9B	# 겛
0x8271	0xAC9E	# 겞
